Dew Point val_MAE,Dew Point val_MAPE,Dew Point val_RMSE,Dew Point val_SMAPE,Humidity val_MAE,Humidity val_MAPE,Humidity val_RMSE,Humidity val_SMAPE,Pressure val_MAE,Pressure val_MAPE,Pressure val_RMSE,Pressure val_SMAPE,Temperature val_MAE,Temperature val_MAPE,Temperature val_RMSE,Temperature val_SMAPE,Wind Speed val_MAE,Wind Speed val_MAPE,Wind Speed val_RMSE,Wind Speed val_SMAPE,epoch,step,train_loss_epoch,train_loss_step,val_loss
,,,,,,,,,,,,,,,,,,,,0,49,,3.6408679485321045,
,,,,,,,,,,,,,,,,,,,,0,99,,3.1350443363189697,
,,,,,,,,,,,,,,,,,,,,0,149,,4.099122524261475,
,,,,,,,,,,,,,,,,,,,,0,199,,2.6901674270629883,
,,,,,,,,,,,,,,,,,,,,0,249,,3.133518934249878,
,,,,,,,,,,,,,,,,,,,,0,299,,3.0784778594970703,
0.4597594738006592,3.458627462387085,0.5551019906997681,0.6922357082366943,0.7835620641708374,2.0151944160461426,0.9422558546066284,1.5227737426757812,0.7432201504707336,2.267378330230713,0.9040477275848389,1.2151806354522705,0.39710089564323425,3.2849199771881104,0.4839324355125427,0.6687462329864502,0.8078075647354126,3.509584903717041,0.9613051414489746,1.685825228691101,0,311,,,3.516841173171997
,,,,,,,,,,,,,,,,,,,,0,311,3.505009889602661,,
,,,,,,,,,,,,,,,,,,,,1,349,,3.523261070251465,
,,,,,,,,,,,,,,,,,,,,1,399,,2.620790958404541,
,,,,,,,,,,,,,,,,,,,,1,449,,3.1791014671325684,
,,,,,,,,,,,,,,,,,,,,1,499,,3.643822431564331,
,,,,,,,,,,,,,,,,,,,,1,549,,3.0912961959838867,
,,,,,,,,,,,,,,,,,,,,1,599,,3.318030834197998,
0.3734128177165985,2.642599582672119,0.45466065406799316,0.6396584510803223,0.7854198217391968,3.505467176437378,0.9439241886138916,1.3740659952163696,0.7110224366188049,2.0412840843200684,0.8691045045852661,1.209566593170166,0.34778261184692383,2.635721206665039,0.430091917514801,0.6169296503067017,0.7847755551338196,3.8088114261627197,0.9452432990074158,1.484222412109375,1,623,,,3.209977388381958
,,,,,,,,,,,,,,,,,,,,1,623,3.283090353012085,,
,,,,,,,,,,,,,,,,,,,,2,649,,3.2236757278442383,
,,,,,,,,,,,,,,,,,,,,2,699,,3.2038025856018066,
,,,,,,,,,,,,,,,,,,,,2,749,,3.159921169281006,
,,,,,,,,,,,,,,,,,,,,2,799,,2.150482654571533,
,,,,,,,,,,,,,,,,,,,,2,849,,3.476046562194824,
,,,,,,,,,,,,,,,,,,,,2,899,,3.6014716625213623,
0.3692634701728821,2.0855226516723633,0.4470783472061157,0.6580759882926941,0.7702379822731018,2.284996747970581,0.9264767169952393,1.4705617427825928,0.689236581325531,1.697730541229248,0.8479546904563904,1.2472580671310425,0.35402625799179077,2.1466917991638184,0.43704473972320557,0.6375340223312378,0.7774877548217773,4.689672470092773,0.9399189949035645,1.4592703580856323,2,935,,,3.12087345123291
,,,,,,,,,,,,,,,,,,,,2,935,3.2132585048675537,,
,,,,,,,,,,,,,,,,,,,,3,949,,2.7705111503601074,
,,,,,,,,,,,,,,,,,,,,3,999,,3.967738151550293,
,,,,,,,,,,,,,,,,,,,,3,1049,,3.0571625232696533,
,,,,,,,,,,,,,,,,,,,,3,1099,,3.568024158477783,
,,,,,,,,,,,,,,,,,,,,3,1149,,2.956611156463623,
,,,,,,,,,,,,,,,,,,,,3,1199,,3.4028220176696777,
0.38333943486213684,2.5046310424804688,0.4632682502269745,0.6560993194580078,0.779988169670105,2.499168872833252,0.933197557926178,1.5046604871749878,0.6966585516929626,1.6225125789642334,0.8501601219177246,1.2715368270874023,0.3605848252773285,2.753976821899414,0.4368627071380615,0.610786497592926,0.7808476090431213,2.732426643371582,0.9489748477935791,1.4562797546386719,3,1247,,,3.181675910949707
,,,,,,,,,,,,,,,,,,,,3,1247,3.207318067550659,,
,,,,,,,,,,,,,,,,,,,,4,1249,,3.5004124641418457,
,,,,,,,,,,,,,,,,,,,,4,1299,,2.728609800338745,
,,,,,,,,,,,,,,,,,,,,4,1349,,3.0168039798736572,
,,,,,,,,,,,,,,,,,,,,4,1399,,3.1039628982543945,
,,,,,,,,,,,,,,,,,,,,4,1449,,3.0400662422180176,
,,,,,,,,,,,,,,,,,,,,4,1499,,2.9628381729125977,
,,,,,,,,,,,,,,,,,,,,4,1549,,3.0133700370788574,
0.41734713315963745,2.371809244155884,0.49254071712493896,0.7029274106025696,0.7681222558021545,2.578293561935425,0.9231719970703125,1.4375439882278442,0.710217297077179,1.4455045461654663,0.8614426255226135,1.3404641151428223,0.3737843930721283,2.842743158340454,0.45571082830429077,0.6434326171875,0.7969553470611572,2.7971084117889404,0.9493380188941956,1.5868680477142334,4,1559,,,3.2284045219421387
,,,,,,,,,,,,,,,,,,,,4,1559,3.1926169395446777,,
,,,,,,,,,,,,,,,,,,,,5,1599,,3.2107763290405273,
,,,,,,,,,,,,,,,,,,,,5,1649,,3.073434352874756,
,,,,,,,,,,,,,,,,,,,,5,1699,,3.3702235221862793,
,,,,,,,,,,,,,,,,,,,,5,1749,,3.1702351570129395,
,,,,,,,,,,,,,,,,,,,,5,1799,,3.5531907081604004,
,,,,,,,,,,,,,,,,,,,,5,1849,,3.1890475749969482,
0.3885274827480316,2.9692749977111816,0.4693644344806671,0.6332135200500488,0.7669728398323059,1.7928940057754517,0.9274005889892578,1.5057252645492554,0.6969870924949646,1.8100180625915527,0.8549121618270874,1.2124035358428955,0.3546596169471741,2.9263052940368652,0.4356486201286316,0.5954427719116211,0.7904343008995056,2.0814414024353027,0.9473918080329895,1.6410843133926392,5,1871,,,3.18483829498291
,,,,,,,,,,,,,,,,,,,,5,1871,3.1886940002441406,,
